valid_name,synonyms,availability,region,subgroup,group
Aglaophamus macroura,Aglaophamus macroura,private,Chile,Annelida,Invertebrate
Aglaophamus trissophyllus,Aglaophamus trissophyllus,public_outside,Chile,Annelida,Invertebrate
Amphitrite kerguelensis,Amphitrite kerguelensis,private,Chile,Annelida,Invertebrate
Ancistrosyllis groenlandica,Ancistrosyllis groenlandica,public_outside,Chile,Annelida,Invertebrate
Aphelochaeta marioni,Tharyx marioni,private,Chile,Annelida,Invertebrate
Aphelochaeta multifilis,Tharyx multifilis,public_outside,Chile,Annelida,Invertebrate
Archinome rosacea,Archinome rosacea,public_outside,Chile,Annelida,Invertebrate
Artacama valparaisiensis,Artacama valparaisiensis,public_outside,Chile,Annelida,Invertebrate
Asychis amphiglyptus,Asychis amphiglypta,public_outside,Chile,Annelida,Invertebrate
Austrolaenilla antarctica,Austrolaenilla antarctica,public_outside,Chile,Annelida,Invertebrate
Branchipolynoe symmytilida,Branchipolynoe symmytilida,public_outside,Chile,Annelida,Invertebrate
Capitella capitata,Capitella capitata,public_outside,Chile,Annelida,Invertebrate
Ceratocephale loveni,Ceratocephale loveni,private,Chile,Annelida,Invertebrate
Chaetopterus variopedatus,Chaetopterus appendiculatus,private,Chile,Annelida,Invertebrate
Chaetopterus variopedatus,Chaetopterus kagosimensis,private,Chile,Annelida,Invertebrate
Chaetopterus variopedatus,Chaetopterus norvegicus,private,Chile,Annelida,Invertebrate
Chaetopterus variopedatus,Chaetopterus sarsi,public_outside,Chile,Annelida,Invertebrate
Chaetopterus variopedatus,Chaetopterus variopedatus,public_outside,Chile,Annelida,Invertebrate
Chaetozone setosa,Chaetozone setosa,public_outside,Chile,Annelida,Invertebrate
Cirratulus cirratus,Cirratulus cirratus,public_outside,Chile,Annelida,Invertebrate
Cistenides ehlersi,Cistenides ehlersi,public_outside,Chile,Annelida,Invertebrate
Dipolydora socialis,Dipolydora socialis,public_outside,Chile,Annelida,Invertebrate
Eulagisca gigantea,Eulagisca gigantea,public_outside,Chile,Annelida,Invertebrate
Eunice frauenfeldi,Eunice frauenfeldi,private,Chile,Annelida,Invertebrate
Eunice pennata,Eunice pennata,public_outside,Chile,Annelida,Invertebrate
Glycera americana,Glycera americana,public_outside,Chile,Annelida,Invertebrate
Glycera capitata,Glycera capitata,public_outside,Chile,Annelida,Invertebrate
Halosydna patagonica,Halosydna patagonica,private,Chile,Annelida,Invertebrate
Hemipodia simplex,Hemipodia simplex,public_outside,Chile,Annelida,Invertebrate
Hyalinoecia tubicola,Hyalinoecia tubicola,public_outside,Chile,Annelida,Invertebrate
Laetmonice producta,Laetmonice producta,private,Chile,Annelida,Invertebrate
Laonice cirrata,Laonice cirrata,public_outside,Chile,Annelida,Invertebrate
Laonice weddellia,Laonice weddellia,public_outside,Chile,Annelida,Invertebrate
Leanira quatrefagesi,Leanira quatrefagesi,public_outside,Chile,Annelida,Invertebrate
Leitoscoloplos chilensis,Leitoscoloplos chilensis,private,Chile,Annelida,Invertebrate
Leitoscoloplos pugettensis,Haploscoloplos elongatus,public_outside,Chile,Annelida,Invertebrate
Leitoscoloplos pugettensis,Leitoscoloplos pugettensis,public_outside,Chile,Annelida,Invertebrate
Leodamas marginatus,Scoloplos marginatus,private,Chile,Annelida,Invertebrate
Leodice antennata,Eunice antennata,public_outside,Chile,Annelida,Invertebrate
Levinsenia gracilis,Levinsenia gracilis,public_outside,Chile,Annelida,Invertebrate
Lumbrineris tetraura,Lumbrineris tetraura,public_outside,Chile,Annelida,Invertebrate
Maldane sarsi,Maldane sarsi,public_outside,Chile,Annelida,Invertebrate
Melinna cristata,Melinna cristata,public_outside,Chile,Annelida,Invertebrate
Neanthes kerguelensis,Neanthes kerguelensis,private,Chile,Annelida,Invertebrate
Nephtys ferruginea,Nephtys ferruginea,public_outside,Chile,Annelida,Invertebrate
Nephtys paradoxa,Nephtys paradoxa,public_outside,Chile,Annelida,Invertebrate
Nereis pelagica,Nereis pelagica,public_outside,Chile,Annelida,Invertebrate
Nicon maculata,Nicon maculata,private,Chile,Annelida,Invertebrate
Ninoe leptognatha,Ninoe leptognatha,public_outside,Chile,Annelida,Invertebrate
Nothria conchylega,Nothria conchylega,public_outside,Chile,Annelida,Invertebrate
Notomastus latericeus,Notomastus latericeus,public_outside,Chile,Annelida,Invertebrate
Onuphis iridescens,Onuphis iridescens,public_outside,Chile,Annelida,Invertebrate
